depart_time,Time Difference
1990-01-01 11:35:54,0 days 00:03:58
1990-01-01 12:41:13,0 days 00:03:27
1990-01-01 13:11:39,0 days 00:03:52
1990-01-01 13:35:18,0 days 00:03:05
1990-01-01 11:33:59,0 days 00:03:52
1990-01-01 12:42:40,0 days 00:03:13
1990-01-01 13:11:12,0 days 00:03:53
1990-01-01 13:30:35,0 days 00:02:39
1990-01-01 14:21:32,0 days 00:03:45
1990-01-01 14:47:53,0 days 00:03:09
1990-01-01 13:15:45,0 days 00:02:58
1990-01-01 11:30:48,0 days 00:02:45
1990-01-01 12:40:48,0 days 00:03:56
1990-01-01 13:10:57,0 days 00:03:49
1990-01-01 13:32:45,0 days 00:03:07
1990-01-01 14:22:03,0 days 00:03:24
1990-01-01 14:46:20,0 days 00:03:33
1990-01-01 11:35:00,0 days 00:03:02
1990-01-01 12:40:17,0 days 00:04:29
1990-01-01 13:10:13,0 days 00:03:16
1990-01-01 13:30:20,0 days 00:02:52
1990-01-01 14:21:09,0 days 00:03:52
1990-01-01 14:49:17,0 days 00:03:31
1990-01-01 12:50:13,0 days 00:03:48
1990-01-01 13:10:13,0 days 00:03:21
1990-01-01 14:30:28,0 days 00:03:24
1990-01-01 14:49:51,0 days 00:03:02
1990-01-01 11:32:35,0 days 00:03:11
1990-01-01 12:40:45,0 days 00:04:15
1990-01-01 13:11:15,0 days 00:02:59
1990-01-01 13:33:08,0 days 00:03:31
1990-01-01 14:23:43,0 days 00:03:15
1990-01-01 14:49:09,0 days 00:03:15
1990-01-01 07:30:37,0 days 00:04:10
1990-01-01 07:50:31,0 days 00:03:25
1990-01-01 08:15:41,0 days 00:03:24
1990-01-01 09:01:08,0 days 00:04:46
1990-01-01 09:24:09,0 days 00:03:03
1990-01-01 09:44:11,0 days 00:03:28
1990-01-01 10:05:35,0 days 00:03:15
1990-01-01 11:59:43,0 days 00:03:39
1990-01-01 13:00:16,0 days 00:05:09
1990-01-01 07:31:39,0 days 00:05:03
1990-01-01 08:16:28,0 days 00:03:34
1990-01-01 10:26:34,0 days 01:11:19
1990-01-01 11:35:38,0 days 00:04:02
1990-01-01 12:04:42,0 days 00:04:54
1990-01-01 13:00:33,0 days 00:03:59
1990-01-01 13:29:06,0 days 00:04:08
1990-01-01 13:49:26,0 days 00:03:55
1990-01-01 14:10:53,0 days 00:04:27
1990-01-01 07:31:26,0 days 00:04:40
1990-01-01 07:50:47,0 days 00:04:35
1990-01-01 08:15:49,0 days 00:03:14
1990-01-01 09:01:52,0 days 00:02:47
1990-01-01 09:25:12,0 days 00:04:20
1990-01-01 09:45:17,0 days 00:03:41
1990-01-01 10:05:51,0 days 00:02:47
1990-01-01 10:26:56,0 days 00:03:35
1990-01-01 11:35:45,0 days 00:05:02
1990-01-01 12:04:05,0 days 00:04:45
1990-01-01 13:00:32,0 days 00:03:28
1990-01-01 13:26:32,0 days 00:04:44
1990-01-01 13:46:02,0 days 00:03:01
1990-01-01 14:05:04,0 days 00:02:50
1990-01-01 14:24:49,0 days 00:03:56
1990-01-01 07:32:17,0 days 00:04:10
1990-01-01 07:53:45,0 days 00:04:59
1990-01-01 08:15:46,0 days 00:04:04
1990-01-01 09:01:10,0 days 00:03:35
1990-01-01 09:25:16,0 days 00:04:45
1990-01-01 09:45:17,0 days 00:03:58
1990-01-01 10:05:39,0 days 00:02:57
1990-01-01 10:28:06,0 days 00:04:34
1990-01-01 11:37:07,0 days 00:04:10
1990-01-01 13:01:44,0 days 00:06:28
1990-01-01 13:27:30,0 days 00:03:22
1990-01-01 13:45:53,0 days 00:03:54
1990-01-01 14:05:33,0 days 00:02:55
1990-01-01 14:24:43,0 days 00:04:17
1990-01-01 07:32:02,0 days 00:03:41
1990-01-01 07:50:34,0 days 00:03:45
1990-01-01 08:16:46,0 days 00:03:19
1990-01-01 09:00:19,0 days 00:03:15
1990-01-01 09:24:33,0 days 00:04:09
1990-01-01 09:45:08,0 days 00:03:08
1990-01-01 10:06:17,0 days 00:03:17
1990-01-01 10:28:44,0 days 00:04:22
1990-01-01 12:00:15,0 days 00:04:54
1990-01-01 13:04:46,0 days 00:04:38
1990-01-01 13:29:41,0 days 00:04:34
1990-01-01 13:47:32,0 days 00:03:03
1990-01-01 14:08:01,0 days 00:03:11
1990-01-01 14:27:52,0 days 00:03:31
1990-01-01 07:34:41,0 days 00:05:13
1990-01-01 07:53:02,0 days 00:04:11
1990-01-01 08:15:14,0 days 00:03:39
1990-01-01 09:01:08,0 days 00:03:15
1990-01-01 09:25:04,0 days 00:03:44
1990-01-01 09:45:15,0 days 00:03:18
1990-01-01 10:05:30,0 days 00:03:43
1990-01-01 10:26:05,0 days 00:04:22
1990-01-01 11:35:00,0 days 00:05:02
1990-01-01 11:58:29,0 days 00:04:02
1990-01-01 12:17:37,0 days 00:03:51
1990-01-01 13:01:15,0 days 00:02:52
1990-01-01 13:27:32,0 days 00:04:51
1990-01-01 13:47:13,0 days 00:04:28
1990-01-01 14:04:33,0 days 00:03:25
1990-01-01 14:24:22,0 days 00:03:27
1990-01-01 07:30:48,0 days 00:03:47
1990-01-01 07:51:00,0 days 00:03:53
1990-01-01 08:10:46,0 days 00:03:51
1990-01-01 09:00:45,0 days 00:03:59
1990-01-01 09:26:10,0 days 00:05:15
1990-01-01 09:46:25,0 days 00:03:43
1990-01-01 10:07:26,0 days 00:04:11
1990-01-01 10:27:00,0 days 00:03:51
1990-01-01 11:35:50,0 days 00:04:01
1990-01-01 11:56:26,0 days 00:04:04
1990-01-01 12:20:10,0 days 00:03:40
1990-01-01 13:00:24,0 days 00:03:50
1990-01-01 13:25:01,0 days 00:04:19
1990-01-01 13:45:31,0 days 00:03:09
1990-01-01 14:05:28,0 days 00:03:12
1990-01-01 14:25:41,0 days 00:04:29
1990-01-01 07:52:42,0 days 00:04:26
1990-01-01 08:15:43,0 days 00:03:43
1990-01-01 09:00:29,0 days 00:04:38
1990-01-01 09:24:32,0 days 00:04:12
1990-01-01 09:45:21,0 days 00:03:20
1990-01-01 11:36:24,0 days 00:04:32
1990-01-01 12:00:21,0 days 00:03:58
1990-01-01 12:17:33,0 days 00:03:30
1990-01-01 13:00:16,0 days 00:02:49
1990-01-01 13:25:20,0 days 00:03:28
1990-01-01 13:45:48,0 days 00:03:40
1990-01-01 14:07:08,0 days 00:03:51
1990-01-01 14:28:57,0 days 00:03:31
1990-01-01 07:30:59,0 days 00:04:36
1990-01-01 07:50:30,0 days 00:03:57
1990-01-01 08:16:30,0 days 00:03:40
1990-01-01 09:00:39,0 days 00:03:29
1990-01-01 09:25:08,0 days 00:04:16
1990-01-01 09:45:05,0 days 00:04:03
1990-01-01 10:05:12,0 days 00:03:36
1990-01-01 10:24:55,0 days 00:04:14
1990-01-01 11:36:17,0 days 00:03:38
1990-01-01 12:01:36,0 days 00:04:17
1990-01-01 12:20:15,0 days 00:03:31
1990-01-01 13:02:06,0 days 00:03:34
1990-01-01 13:27:39,0 days 00:04:03
1990-01-01 13:48:34,0 days 00:05:51
1990-01-01 14:08:03,0 days 00:03:56
1990-01-01 14:27:10,0 days 00:03:28
1990-01-01 07:31:53,0 days 00:05:10
1990-01-01 07:50:39,0 days 00:04:07
1990-01-01 08:16:16,0 days 00:03:14
1990-01-01 09:00:33,0 days 00:04:24
1990-01-01 09:20:26,0 days 00:03:48
1990-01-01 09:45:36,0 days 00:03:46
1990-01-01 10:07:09,0 days 00:03:57
1990-01-01 10:27:07,0 days 00:03:58
1990-01-01 11:31:23,0 days 00:04:05
1990-01-01 11:54:04,0 days 00:03:53
1990-01-01 12:18:52,0 days 00:05:02
1990-01-01 12:59:19,0 days 00:04:00
1990-01-01 13:32:35,0 days 00:04:53
1990-01-01 13:48:26,0 days 00:03:21
1990-01-01 14:07:47,0 days 00:04:14
1990-01-01 14:28:24,0 days 00:03:50
1990-01-01 07:30:42,0 days 00:04:03
1990-01-01 07:49:57,0 days 00:03:30
1990-01-01 08:15:16,0 days 00:04:47
1990-01-01 09:01:38,0 days 00:02:48
1990-01-01 09:25:48,0 days 00:04:32
1990-01-01 09:45:12,0 days 00:03:45
1990-01-01 10:04:31,0 days 00:03:12
1990-01-01 10:23:53,0 days 00:03:28
1990-01-01 11:38:10,0 days 00:04:17
1990-01-01 12:01:32,0 days 00:04:30
1990-01-01 12:21:01,0 days 00:03:55
1990-01-01 13:00:32,0 days 00:03:34
1990-01-01 13:28:48,0 days 00:04:15
1990-01-01 13:47:18,0 days 00:03:36
1990-01-01 14:06:57,0 days 00:02:55
1990-01-01 14:25:03,0 days 00:03:13
1990-01-01 07:35:14,0 days 00:03:25
1990-01-01 07:53:13,0 days 00:04:11
1990-01-01 08:15:06,0 days 00:03:44
1990-01-01 09:00:48,0 days 00:03:35
1990-01-01 09:25:26,0 days 00:03:51
1990-01-01 09:44:50,0 days 00:03:08
1990-01-01 10:05:56,0 days 00:04:13
1990-01-01 10:25:23,0 days 00:04:06
1990-01-01 11:35:40,0 days 00:04:00
1990-01-01 11:58:43,0 days 00:03:46
1990-01-01 12:20:21,0 days 00:04:28
1990-01-01 13:00:58,0 days 00:03:35
1990-01-01 13:28:18,0 days 00:04:09
1990-01-01 13:47:31,0 days 00:03:24
1990-01-01 14:07:29,0 days 00:03:40
1990-01-01 14:26:09,0 days 00:03:29
1990-01-01 07:51:00,0 days 00:03:19
1990-01-01 08:16:29,0 days 00:04:27
1990-01-01 09:00:43,0 days 00:02:48
1990-01-01 09:24:05,0 days 00:04:03
1990-01-01 09:44:39,0 days 00:03:23
1990-01-01 10:05:34,0 days 00:04:04
1990-01-01 10:26:14,0 days 00:03:59
1990-01-01 11:35:24,0 days 00:04:04
1990-01-01 11:54:34,0 days 00:04:50
1990-01-01 12:18:32,0 days 00:03:21
1990-01-01 12:59:38,0 days 00:04:43
1990-01-01 13:24:27,0 days 00:03:45
1990-01-01 15:05:53,0 days 00:03:17
1990-01-01 15:24:52,0 days 00:03:32
1990-01-01 15:45:28,0 days 00:03:30
1990-01-01 16:28:15,0 days 00:03:52
1990-01-01 16:45:51,0 days 00:03:10
1990-01-01 17:05:20,0 days 00:03:08
1990-01-01 17:37:18,0 days 00:03:27
1990-01-01 17:53:59,0 days 00:03:11
1990-01-01 14:39:57,0 days 00:03:46
1990-01-01 14:58:39,0 days 00:03:32
1990-01-01 15:16:52,0 days 00:03:08
1990-01-01 15:38:01,0 days 00:03:36
1990-01-01 16:31:00,0 days 00:03:39
1990-01-01 17:33:32,0 days 00:03:02
1990-01-01 18:40:02,0 days 00:03:43
1990-01-01 19:01:15,0 days 00:03:43
1990-01-01 19:42:34,0 days 00:03:54
1990-01-01 20:22:32,0 days 00:03:49
1990-01-01 20:41:07,0 days 00:02:58
1990-01-01 10:29:12,0 days 00:02:55
1990-01-01 07:30:54,0 days 00:03:11
1990-01-01 07:50:37,0 days 00:02:49
1990-01-01 08:16:31,0 days 00:03:44
1990-01-01 09:00:52,0 days 00:03:19
1990-01-01 09:25:39,0 days 00:05:04
1990-01-01 09:45:24,0 days 00:03:50
1990-01-01 10:07:14,0 days 00:02:43
1990-01-01 10:26:46,0 days 00:03:39
1990-01-01 11:35:50,0 days 00:03:09
1990-01-01 11:58:06,0 days 00:03:34
1990-01-01 12:15:59,0 days 00:03:35
1990-01-01 13:02:05,0 days 00:03:16
1990-01-01 13:25:14,0 days 00:02:56
1990-01-01 13:45:34,0 days 00:03:33
1990-01-01 14:05:30,0 days 00:03:09
1990-01-01 14:26:32,0 days 00:02:51
1990-01-01 07:35:59,0 days 00:05:36
1990-01-01 07:55:29,0 days 00:03:08
1990-01-01 08:25:06,0 days 00:02:32
1990-01-01 08:46:36,0 days 00:02:53
1990-01-01 09:10:33,0 days 00:03:16
1990-01-01 09:54:47,0 days 00:03:30
1990-01-01 10:14:53,0 days 00:02:36
1990-01-01 10:34:58,0 days 00:03:26
1990-01-01 10:56:22,0 days 00:03:27
1990-01-01 12:05:08,0 days 00:03:02
1990-01-01 12:25:57,0 days 00:03:08
1990-01-01 12:47:12,0 days 00:03:10
1990-01-01 13:05:03,0 days 00:03:04
1990-01-01 14:15:14,0 days 00:04:13
1990-01-01 14:37:40,0 days 00:02:55
1990-01-01 15:03:48,0 days 00:03:43
1990-01-01 16:50:19,0 days 00:02:50
1990-01-01 17:36:11,0 days 00:04:50
1990-01-01 18:15:53,0 days 00:03:12
1990-01-01 18:50:43,0 days 00:03:08
1990-01-01 14:57:01,0 days 00:03:18
1990-01-01 15:16:42,0 days 00:02:52
1990-01-01 15:37:27,0 days 00:04:30
1990-01-01 16:28:50,0 days 00:04:59
1990-01-01 17:03:55,0 days 00:03:15
1990-01-01 18:41:51,0 days 00:04:24
1990-01-01 19:05:36,0 days 00:03:37
1990-01-01 19:26:01,0 days 00:03:50
1990-01-01 19:45:11,0 days 00:04:12
1990-01-01 20:22:27,0 days 00:03:15
1990-01-01 20:40:53,0 days 00:03:52
1990-01-01 07:34:42,0 days 00:02:51
1990-01-01 07:54:26,0 days 00:03:00
1990-01-01 08:25:01,0 days 00:03:18
1990-01-01 08:44:19,0 days 00:03:25
1990-01-01 09:03:32,0 days 00:03:53
1990-01-01 09:54:21,0 days 00:03:27
1990-01-01 10:11:13,0 days 00:02:58
1990-01-01 10:31:15,0 days 00:03:32
1990-01-01 10:54:46,0 days 00:05:44
1990-01-01 12:04:58,0 days 00:03:16
1990-01-01 12:26:37,0 days 00:03:17
1990-01-01 12:44:03,0 days 00:03:23
1990-01-01 13:03:41,0 days 00:03:17
1990-01-01 14:14:14,0 days 00:03:20
1990-01-01 14:34:57,0 days 00:03:42
1990-01-01 14:56:51,0 days 00:03:01
1990-01-01 07:35:53,0 days 00:03:13
1990-01-01 07:53:36,0 days 00:04:25
1990-01-01 08:25:41,0 days 00:03:14
1990-01-01 08:43:22,0 days 00:03:24
1990-01-01 09:04:15,0 days 00:03:19
1990-01-01 09:56:03,0 days 00:03:19
1990-01-01 10:13:59,0 days 00:03:20
1990-01-01 10:33:35,0 days 00:03:09
1990-01-01 11:39:03,0 days 00:03:46
1990-01-01 12:23:38,0 days 00:03:34
1990-01-01 12:43:40,0 days 00:05:34
1990-01-01 13:05:46,0 days 00:03:35
1990-01-01 14:14:02,0 days 00:03:44
1990-01-01 14:35:15,0 days 00:03:15
1990-01-01 13:50:07,0 days 00:03:35
1990-01-01 14:10:07,0 days 00:03:12
1990-01-01 14:40:39,0 days 00:03:15
1990-01-01 15:25:02,0 days 00:03:47
1990-01-01 15:45:11,0 days 00:02:54
1990-01-01 16:11:16,0 days 00:03:12
1990-01-01 17:21:20,0 days 00:04:23
1990-01-01 17:39:45,0 days 00:03:22
1990-01-01 18:00:33,0 days 00:03:03
1990-01-01 18:20:30,0 days 00:03:20
1990-01-01 18:59:53,0 days 00:03:16
1990-01-01 19:25:19,0 days 00:03:09
1990-01-01 19:48:46,0 days 00:03:09
1990-01-01 07:34:49,0 days 00:03:53
1990-01-01 07:54:35,0 days 00:04:14
1990-01-01 08:25:06,0 days 00:03:57
1990-01-01 08:44:39,0 days 00:03:09
1990-01-01 09:03:46,0 days 00:02:42
1990-01-01 09:55:30,0 days 00:03:47
1990-01-01 10:14:12,0 days 00:03:21
1990-01-01 10:36:32,0 days 00:03:40
1990-01-01 10:54:43,0 days 00:04:03
1990-01-01 12:05:44,0 days 00:03:37
1990-01-01 12:24:15,0 days 00:02:26
1990-01-01 12:42:51,0 days 00:03:39
1990-01-01 13:03:10,0 days 00:02:54
1990-01-01 14:14:45,0 days 00:03:26
1990-01-01 14:29:46,0 days 00:03:34
1990-01-01 14:56:29,0 days 00:03:20
1990-01-01 16:28:25,0 days 00:04:09
1990-01-01 17:32:44,0 days 00:03:56
1990-01-01 18:36:10,0 days 00:03:09
1990-01-01 18:56:49,0 days 00:03:19
1990-01-01 19:20:50,0 days 00:04:01
1990-01-01 19:40:18,0 days 00:03:08
1990-01-01 20:24:24,0 days 00:03:21
1990-01-01 20:44:45,0 days 00:03:21
1990-01-01 07:34:49,0 days 00:04:14
1990-01-01 07:53:09,0 days 00:04:42
1990-01-01 08:24:18,0 days 00:03:13
1990-01-01 09:56:04,0 days 00:02:55
1990-01-01 10:14:41,0 days 00:03:04
1990-01-01 10:36:53,0 days 00:03:37
1990-01-01 10:56:26,0 days 00:03:33
1990-01-01 12:06:04,0 days 00:04:04
1990-01-01 12:23:35,0 days 00:02:24
1990-01-01 13:03:40,0 days 00:03:13
1990-01-01 14:18:43,0 days 00:03:31
1990-01-01 07:36:07,0 days 00:04:14
1990-01-01 07:53:55,0 days 00:03:47
1990-01-01 08:27:02,0 days 00:03:38
1990-01-01 08:44:16,0 days 00:03:20
1990-01-01 09:04:07,0 days 00:03:45
1990-01-01 09:55:04,0 days 00:04:29
1990-01-01 10:11:59,0 days 00:03:03
1990-01-01 12:04:24,0 days 00:03:49
1990-01-01 12:23:25,0 days 00:06:36
1990-01-01 10:40:28,0 days 00:04:09
1990-01-01 11:20:06,0 days 00:04:48
1990-01-01 11:41:13,0 days 00:03:33
1990-01-01 12:52:25,0 days 00:03:40
1990-01-01 13:16:17,0 days 00:05:23
1990-01-01 13:36:49,0 days 00:03:53
1990-01-01 14:59:59,0 days 00:03:41
1990-01-01 15:18:26,0 days 00:03:30
1990-01-01 15:37:57,0 days 00:03:32
1990-01-01 16:05:08,0 days 00:03:14
1990-01-01 16:23:53,0 days 00:04:20
1990-01-01 17:12:00,0 days 00:04:31
1990-01-01 17:31:59,0 days 00:03:57
1990-01-01 07:36:43,0 days 00:03:26
1990-01-01 08:25:20,0 days 00:03:25
1990-01-01 08:45:14,0 days 00:03:10
1990-01-01 09:04:48,0 days 00:03:01
1990-01-01 09:55:18,0 days 00:03:08
1990-01-01 12:05:05,0 days 00:04:04
1990-01-01 12:25:02,0 days 00:03:20
1990-01-01 12:45:02,0 days 00:03:24
1990-01-01 13:05:04,0 days 00:03:20
1990-01-01 14:15:06,0 days 00:03:07
1990-01-01 14:36:25,0 days 00:04:17
1990-01-01 15:00:26,0 days 00:03:18
1990-01-01 10:31:40,0 days 00:03:56
1990-01-01 10:52:21,0 days 00:03:14
1990-01-01 11:19:36,0 days 00:03:30
1990-01-01 11:42:15,0 days 00:03:04
1990-01-01 12:51:01,0 days 00:03:50
1990-01-01 13:11:56,0 days 00:04:45
1990-01-01 13:36:09,0 days 00:04:03
1990-01-01 14:55:51,0 days 00:04:42
1990-01-01 15:15:49,0 days 00:03:39
1990-01-01 15:35:54,0 days 00:03:27
1990-01-01 15:57:34,0 days 00:03:49
1990-01-01 16:21:03,0 days 00:04:24
1990-01-01 17:14:43,0 days 00:04:36
1990-01-01 17:33:50,0 days 00:04:04
1990-01-01 11:09:02,0 days 00:03:46
1990-01-01 11:24:10,0 days 00:03:21
1990-01-01 12:48:08,0 days 00:02:47
1990-01-01 13:05:44,0 days 00:03:56
1990-01-01 13:23:43,0 days 00:02:54
1990-01-01 14:21:17,0 days 00:04:09
1990-01-01 12:36:53,0 days 00:03:45
1990-01-01 12:56:46,0 days 00:03:54
1990-01-01 13:19:54,0 days 00:03:14
1990-01-01 13:37:54,0 days 00:03:53
1990-01-01 13:53:05,0 days 00:02:45
1990-01-01 15:06:13,0 days 00:03:46
1990-01-01 15:27:14,0 days 00:02:58
1990-01-01 15:47:17,0 days 00:04:14
1990-01-01 16:26:27,0 days 00:03:19
1990-01-01 16:46:45,0 days 00:03:36
1990-01-01 17:05:49,0 days 00:03:28
1990-01-01 17:37:43,0 days 00:03:13
1990-01-01 17:56:43,0 days 00:03:06
1990-01-01 07:24:45,0 days 00:03:26
1990-01-01 07:44:38,0 days 00:02:42
1990-01-01 08:50:49,0 days 00:03:29
1990-01-01 09:08:58,0 days 00:03:55
1990-01-01 10:20:57,0 days 00:03:28
1990-01-01 10:43:16,0 days 00:05:16
1990-01-01 11:04:42,0 days 00:03:29
1990-01-01 11:24:44,0 days 00:04:22
1990-01-01 11:43:42,0 days 00:02:57
1990-01-01 12:35:12,0 days 00:03:28
1990-01-01 12:55:34,0 days 00:03:39
1990-01-01 07:27:19,0 days 00:03:40
1990-01-01 07:44:55,0 days 00:03:10
1990-01-01 08:49:36,0 days 00:02:52
1990-01-01 09:10:31,0 days 00:03:29
1990-01-01 10:20:34,0 days 00:03:51
1990-01-01 10:45:27,0 days 00:03:24
1990-01-01 11:06:11,0 days 00:03:55
1990-01-01 11:26:14,0 days 00:04:00
1990-01-01 12:34:57,0 days 00:03:00
1990-01-01 12:53:32,0 days 00:03:22
1990-01-01 13:12:43,0 days 00:04:07
1990-01-01 13:55:14,0 days 00:03:57
1990-01-01 12:36:02,0 days 00:03:20
1990-01-01 12:56:37,0 days 00:03:08
1990-01-01 13:18:22,0 days 00:04:56
1990-01-01 15:05:09,0 days 00:03:46
1990-01-01 15:25:38,0 days 00:03:51
1990-01-01 15:45:37,0 days 00:03:36
1990-01-01 16:24:51,0 days 00:03:20
1990-01-01 16:44:34,0 days 00:03:05
1990-01-01 17:05:04,0 days 00:03:19
1990-01-01 17:54:35,0 days 00:03:09
1990-01-01 07:25:18,0 days 00:03:22
1990-01-01 07:44:53,0 days 00:03:15
1990-01-01 08:49:39,0 days 00:03:42
1990-01-01 09:09:51,0 days 00:03:51
1990-01-01 10:19:31,0 days 00:03:54
1990-01-01 10:44:48,0 days 00:04:31
1990-01-01 11:05:35,0 days 00:03:42
1990-01-01 11:24:39,0 days 00:03:34
1990-01-01 11:44:13,0 days 00:03:52
1990-01-01 12:55:17,0 days 00:03:14
1990-01-01 13:55:16,0 days 00:03:41
1990-01-01 07:24:00,0 days 00:03:18
1990-01-01 07:43:35,0 days 00:02:38
1990-01-01 08:48:53,0 days 00:03:00
1990-01-01 09:08:54,0 days 00:03:51
1990-01-01 10:45:12,0 days 00:03:37
1990-01-01 11:04:22,0 days 00:03:29
1990-01-01 11:24:31,0 days 00:03:30
1990-01-01 11:43:34,0 days 00:03:41
1990-01-01 12:35:57,0 days 00:03:27
1990-01-01 12:53:35,0 days 00:03:26
1990-01-01 13:12:26,0 days 00:03:39
1990-01-01 13:53:24,0 days 00:03:36
1990-01-01 07:26:09,0 days 00:04:09
1990-01-01 07:45:00,0 days 00:03:32
1990-01-01 08:29:59,0 days 00:03:01
1990-01-01 08:49:58,0 days 00:03:17
1990-01-01 09:10:07,0 days 00:03:34
1990-01-01 10:21:14,0 days 00:03:48
1990-01-01 10:45:06,0 days 00:03:37
1990-01-01 11:05:23,0 days 00:03:40
1990-01-01 11:24:52,0 days 00:03:05
1990-01-01 11:45:19,0 days 00:03:10
1990-01-01 12:35:03,0 days 00:03:48
1990-01-01 12:55:02,0 days 00:03:06
1990-01-01 13:15:04,0 days 00:02:57
1990-01-01 13:55:00,0 days 00:03:40
1990-01-01 07:29:54,0 days 00:04:10
1990-01-01 07:50:06,0 days 00:03:04
1990-01-01 08:19:26,0 days 00:03:18
1990-01-01 08:59:41,0 days 00:03:36
1990-01-01 09:19:47,0 days 00:03:20
1990-01-01 09:40:45,0 days 00:03:22
1990-01-01 10:00:10,0 days 00:03:40
1990-01-01 10:19:48,0 days 00:03:18
1990-01-01 11:31:19,0 days 00:03:28
1990-01-01 11:53:43,0 days 00:03:30
1990-01-01 12:14:43,0 days 00:03:44
1990-01-01 13:07:32,0 days 00:03:28
1990-01-01 13:54:30,0 days 00:03:27
1990-01-01 14:14:41,0 days 00:02:44
1990-01-01 07:24:19,0 days 00:02:59
1990-01-01 07:44:18,0 days 00:03:01
1990-01-01 08:48:34,0 days 00:03:14
1990-01-01 09:09:09,0 days 00:03:28
1990-01-01 10:19:58,0 days 00:03:34
1990-01-01 10:43:44,0 days 00:03:51
1990-01-01 11:04:42,0 days 00:04:05
1990-01-01 11:23:14,0 days 00:04:10
1990-01-01 11:43:16,0 days 00:03:21
1990-01-01 12:35:29,0 days 00:03:35
1990-01-01 12:54:27,0 days 00:03:49
1990-01-01 13:13:42,0 days 00:03:16
1990-01-01 13:24:20,0 days 00:03:30
1990-01-01 17:02:38,0 days 00:03:27
1990-01-01 13:21:41,0 days 00:03:03
1990-01-01 07:26:07,0 days 00:02:44
1990-01-01 08:53:51,0 days 00:03:07
1990-01-01 11:26:44,0 days 00:02:59
1990-01-01 12:56:41,0 days 00:02:54
1990-01-01 11:26:51,0 days 00:09:38
1990-01-01 17:14:50,0 days 00:09:29
1990-01-01 13:24:04,0 days 00:02:47
1990-01-01 08:52:46,0 days 00:03:18
1990-01-01 07:25:08,0 days 00:03:20
1990-01-01 08:53:37,0 days 00:03:12
1990-01-01 11:24:47,0 days 00:03:05
1990-01-01 12:53:43,0 days 00:03:03
1990-01-01 13:21:28,0 days 00:03:07
1990-01-01 13:55:14,0 days 00:03:39
1990-01-01 08:30:03,0 days 00:03:41
1990-01-01 08:27:49,0 days 00:03:09
1990-01-01 08:29:28,0 days 00:02:58
